abandon oneself to something	to yield to the comforts or delights of something	The children ABANDONED themselves TO the delights of the warm summer day.
abandon something/somebody to something/somebody	to leave a person, living creature, or thing to the care of someone or something; to give up someone or something to someone or something (usually with the thought that the abandoned person or thing will not receive the best of care)	They had to ABANDON the dogs TO the storm.
abbreviate something to something; to abbreviate something as something	to make something into a shorter version of itself	The act has been ABBREVIATED TO just a few minutes.
abbreviate something to something; to abbreviate something as something	to make specific initials or an acronym out of a word or phrase	The phrase was abbreviated to ABC.
abduct somebody from something/somebody	to take away or kidnap a person from someone or from a particular place, usually in secret	The thugs abducted the child from her mother.
abet somebody in something	to help someone in some deed; to help someone do something illegal	Surely you do not expect me to abet you in this crime!
abide by something	to accept or obey an arrangement, decision, or rule	It is a good thing that most drivers abide by the rules of the road.
abide by something	to follow the rules of something; to obey someone's orders	John felt that he had to abide by his father's wishes.
abide by something	to remain with someone; to stay with someone (old and stilted; primarily heard in the church hymn Eventide)	You are welcome to abide with me for a while, young man.
abide by something	to respect or obey (the law, a decision, a rule)	If you want to stay at this school, you must abide by the rules.
abound in something	to be rich and abundant in something; to have plenty of something (A bit formal)	The entire area abounds in game and fish.
abound with something/somebody	to be plentiful with particular persons, other living beings, or objects	The world abounds with talented people who are too shy to develop their talents.
abscond with something/somebody	to steal or run away with someone or something; to make off with someone or something in secret	The boys absconded with all the dessert.
absent oneself from something/somebody	to remain away from or avoid someone or some place	Fred absented himself from the meeting, which he was certain would be boring.
absolve somebody from something	to prove that an accused person is innocent of something; to demonstrate that someone is not responsible for something	Bob attempted to absolve himself of the crime.
absorb something with something	to soak up a fluid with something	Henry absorbed the spilled milk with a sponge.
absorb something/somebody in(to) something	[for someone] to become very interested or preoccupied with something or someone else's interests	Tom would often absorb himself in his children's activities on weekends.
absorb something/somebody in(to) something	[of a person or a group of people] to include someone in all the activities of the group; to integrate someone into something	The club absorbed the new members into the organization.
absorb something/somebody in(to) something	[of matter or substance] to draw something into itself	The sponge absorbed all the moisture into its fibers.
abstain from something	to avoid some activity or the use of some substance, such as alcohol, drugs, sex, or food	They abstained from hard liquor and any other kind of intoxicants. I will have to abstain from voting since I cannot make up my mind.
abstain from voting	to choose not to vote either for or against a proposition or nominee	I will have to abstain from voting since I cannot make up my mind.
abstract something from something/somebody	to steal something from someone or something (Formal)	The officer was found guilty of abstracting a rather large amount of money from the company.
abstract something from something/somebody	to take the important information from a longer document; to extract the essentials or the gist from a piece of complicated writing	Can you abstract a shorter article from this material?
abut (up) against something	to rest firmly against something solid	The end of the board abutted against the foundation.
abut on something	[particularly of the edge of an area of land] to meet or touch something along one boundary or at one point	Our land abuts on the shopping center's parking lot.
accede to something	to agree to the terms or demands that someone has stated	We cannot accede to your demands.
accede to something	to assume a position of power or authority; to begin serving in one's official capacity	She acceded to the office of mayor in January.
accept something/somebody as something	to agree that something will serve in payment of a debt or in return for something	This receipt shows that we have accepted your money as payment on your debt. This money has been accepted as reimbursement for the expenditure.
accept something/somebody as something	to believe that something is true or not	You shouldn't accept as gospel everything you read in the newspapers. I accept your evaluation as valid.
accept something/somebody as something	to consent to receive or consider someone as a particular type of person or a person who can serve a particular role	Sally finally accepted herself as the only possible peacemaker in the dispute.
accept something/somebody as something	to resign [oneself] to something that cannot be changed	I must accept what you say as the final decision.
access to something/somebody	permission to approach someone or something; the right to use someone or something (Typically: get ~; have ~; give someone ~)	Can you get access to a computer?
acclimate somebody (or an animal) to something	to cause a person or other living thing to become used to a different climate or environment	We will help acclimate Henry to the new building. We need to acclimatize the fish to the new aquarium.
accommodate oneself to something	to adapt oneself to something, such as someone else's needs or a new environment	Please try to accommodate yourself to our routine.
accommodate something/somebody (with something)	to provide somebody with a room or place to sleep, live or sit	The hotel can accommodate up to 500 guests. The aircraft is capable of accommodating 28 passengers.
accommodate something/somebody (with something)	to provide enough space for somebody/something	Over 70 minutes of music can be accommodated on one CD. The old town hall now accommodates a Folk Museum.
accommodate something/somebody (with something)	to consider something, such as somebody's opinion or a fact, and be influenced by it when you are deciding what to do or explaining something	Our proposal tries to accommodate the special needs of minority groups. She modified her views so as to accommodate the objections of American feminists.
accommodate something/somebody (with something)	to provide something special for someone; to do something that provides for someone's needs or desires	We will try to accommodate you with an earlier flight.
accommodate something/somebody (with something)	to help somebody by doing what they want	I have accommodated the press a great deal, giving numerous interviews. I'm sure the bank will be able to accommodate you.
accompany something/somebody (at/on/with something)	to travel or go somewhere with somebody	His wife accompanied him on the trip. I must ask you to accompany me to the police station. Warships will accompany the convoy.
accompany something/somebody (at/on/with something)	to happen or appear with something else	Each pack contains a book and accompanying CD. Shouts of protest accompanied this announcement. The text is accompanied by a series of stunning photographs.
accompany something/somebody (at/on/with something)	to provide complementary instrumental music for someone's musical performance	Sally accompanied the singer on the piano. The singer was accompanied on the piano by her sister.
accompany something/somebody (at/on/with something)	[for someone] to go with someone on a trip, journey, adventure, etc.	Would you please accompany me on my next trip?
accompany something/somebody (at/on/with something)	[for something] to be brought with someone on a trip, journey, etc.	My cameras always accompany me on my travels.
accompany something/somebody (at/on/with something)	to use a particular musical instrument to play music that goes along with someone else's musical performance	She accompanied Mary with her flute.
accord with something	to agree with or match up with something; to jibe with something	Does this accord with what you heard?
account for something/somebody	to explain something; to give a reason	Your explanation accounts for everything that has happened. I hope you can account for the money you spent. How do you account for the increase in production costs? They had to ACCOUNT FOR all the money that had gone missing.
account for something/somebody	to explain the reason for something	More police on the streets accounted for less street crime.
account for something/somebody	to form the total of an amount of something	In Florida, people over 60 account for more than 25 percent of the population.
account for something/somebody	to know the state of or whereabouts of someone or something (usually in reference to some person or thing placed in one's charge)	They cannot account for three of the passengers. We must account for all the information in our report.
account for something/somebody	to use something to produce good results	She turned her natural curiosity to good account by becoming a detective.
accredit something to somebody (somebody with something)	to assign or attribute a deed to someone; to assign or attribute praise to someone (Often passive)	We can accredit this great success to Fred and his committee.
accredit something to somebody (somebody with something)	to believe that somebody is responsible for doing or saying something	The Arabs are usually accredited with the discovery of distillation. The discovery of distillation is usually accredited to the Arabs of the 11th century. She is accredited with having first introduced the word into the language.
accredit somebody to	to choose somebody for an official position, especially as an ambassador	He was accredited to Madrid.
accredit something/somebody	to officially approve something/somebody as being of an accepted quality or standard	Institutions that do not meet the standards will not be accredited for teacher training.
accrue to something/somebody	[used of interest paid on money] to be credited to an account or to a person's account	Interest will accrue to your account as long as the account is active.
accrue something	to allow a sum of money or debts to grow over a period of time	The firm had accrued debts of over $6m.
accuse somebody of something	to charge someone with a crime, a violation of rules or instructions, or doing something wrong	Please don't accuse me of forgetting to lock the door. He was accused of lying. She accused him of lying. The teacher accused Michael of cheating on the test. The government was accused of incompetence.
accustom somebody to something/somebody	to make yourself/somebody familiar with something or become used to it	It took him a while to accustom himself to the idea. She quickly accustomed herself to the darkness. Education should accustom children to thinking for themselves.
